open,high,low,close,volume,num_trades,taker_base_vol,taker_quote_vol,month,day,year
97313.50,97495.00,97257.50,97416.20,715.523,14449,382.665,37272111.02830,12,11,2024
97416.10,97445.00,97219.00,97282.20,515.542,11541,171.375,16670908.70520,12,11,2024
97282.20,97371.20,97211.10,97317.80,492.210,9813,213.496,20773709.18890,12,11,2024
97317.80,97361.00,97131.10,97312.40,464.215,12594,205.767,20009703.43680,12,11,2024
97312.30,97407.10,97312.30,97399.80,395.162,10169,242.320,23595225.42250,12,11,2024
97399.80,97509.80,97274.60,97491.50,414.214,11267,215.498,20991388.72020,12,11,2024
97491.50,97545.60,97343.10,97459.50,450.406,11281,266.221,25944764.64320,12,11,2024
97459.40,97508.80,97372.30,97457.80,259.747,8624,103.185,10054002.35720,12,11,2024
97457.80,97518.10,97344.10,97406.80,437.065,8746,141.094,13745739.23910,12,11,2024
97406.90,97544.90,97342.80,97430.90,511.981,10931,239.285,23322095.83870,12,11,2024
97431.00,97530.90,97225.00,97248.30,341.886,9607,128.327,12498416.11030,12,11,2024
97248.40,97318.40,97187.60,97264.50,362.157,9257,156.291,15197175.00430,12,11,2024
97264.50,97407.60,97206.60,97342.50,264.236,8370,153.569,14941681.03360,12,11,2024
97342.50,97428.50,97328.10,97371.70,259.434,6989,125.777,12249170.66720,12,11,2024
97371.70,97371.70,97262.50,97322.10,217.405,6844,70.784,6887398.44710,12,11,2024
97322.00,97424.20,97250.00,97348.10,202.344,6890,77.623,7555806.39070,12,11,2024
97348.00,97420.00,97270.50,97418.60,197.690,7529,98.675,9608230.82050,12,11,2024
97418.60,97429.10,97289.20,97289.30,178.628,5779,81.956,7980347.39540,12,11,2024
97289.20,97570.20,97185.70,97553.10,843.790,13280,662.312,64510134.82130,12,11,2024
97553.00,97600.00,97479.10,97567.60,539.174,12095,311.510,30384415.13700,12,11,2024
97567.60,97623.20,97528.90,97550.70,300.066,7141,152.542,14885852.21040,12,11,2024
97550.70,97755.10,97480.60,97510.40,797.479,13572,418.922,40900639.50180,12,11,2024
97510.50,97510.50,97397.30,97406.00,337.000,8420,101.489,9889342.62450,12,11,2024
97406.00,97406.10,97311.80,97405.90,262.438,6493,133.472,12994473.08240,12,11,2024
97406.00,97425.50,97362.70,97425.00,144.074,4476,65.873,6415408.13900,12,11,2024
97424.90,97540.00,97398.10,97531.10,194.243,5813,109.917,10715196.12150,12,11,2024
97531.00,97531.10,97343.10,97398.40,200.875,5997,94.168,9174547.48580,12,11,2024
97398.60,97426.60,97306.10,97355.40,262.259,6386,78.575,7649620.60000,12,11,2024
97355.30,97400.00,97325.30,97356.20,145.989,5514,61.470,5985040.79240,12,11,2024
97356.20,97595.90,97345.60,97569.10,306.610,7811,197.028,19205361.89590,12,11,2024
97569.00,97597.60,97423.10,97484.00,275.206,6709,93.132,9080116.20830,12,11,2024
97483.90,97534.50,97434.30,97447.80,153.196,5073,74.391,7251163.92870,12,11,2024
97447.70,97547.20,97447.70,97507.50,102.218,3863,52.079,5078062.02540,12,11,2024
